,text,emotion,polarity.POS,polarity.NEG,polarity.POS.NEG,polarity.BEST_FIT
1,why go to sleep when you can have a freakout,unknown,1.031277741,0.445453222,2.315120175,positive
2,me im so bored amp then there s nothing to do amp i can t sleep x,sadness,1.031277741,9.47547004,0.108836579,negative
3,"everyone agrees a pillow is an essential for a good nights sleep click this",joy,16.53336798,0.445453222,37.11583429,positive
4,no that ll make it worse i need to stop thinking about harry hes the reason i cant sleep,unknown,8.782322859,26.8423565,0.327181515,negative
5,the japanese get the least sleep new zealanders the most,sadness,1.031277741,17.81233968,0.057896815,negative
6,NA,unknown,1.031277741,0.445453222,2.315120175,positive
7,you d ping this in your sleep flambe,unknown,1.031277741,0.445453222,2.315120175,positive
8,sleep time,unknown,1.031277741,0.445453222,2.315120175,positive
9,looool hayam go to sleep,unknown,1.031277741,0.445453222,2.315120175,positive
10,,unknown,1.031277741,0.445453222,2.315120175,positive
11,almost am and uber eats guy rang the bell and disturbed my sleep best part is that i didn t even order food and h,unknown,24.97756028,9.47547004,2.63602335,positive
12,goodnight sleep tight and if you can t click here and listen to this it ll put the willies up you,unknown,1.031277741,0.445453222,2.315120175,positive
13,how am i supposed to sleep comfortably with my window open when all i can smell is my neighbours bunning zoots every mins,joy,16.53336798,17.1191925,0.965779664,negative
14,finally home gonna get no sleep fun i ll type the full thread in my private account less receipts sorry if yo,sadness,1.031277741,44.20924295,0.023327197,negative
15,bored of not being able to sleep,sadness,8.782322859,9.47547004,0.926848254,negative
16,"bed night brute you become a surrealist after sunset like a were gay but into slam poetry a moment a",joy,17.91966234,9.47547004,1.891163421,neutral
17,flix porn fucking girls in sleep,unknown,1.031277741,0.445453222,2.315120175,positive
18,gonna sleep like a baby,joy,9.47547004,0.445453222,21.27152655,positive
19,sing me to sleep,unknown,1.031277741,0.445453222,2.315120175,positive
20,how to get a good night s sleep,joy,8.782322859,9.47547004,0.926848254,negative
21,gonna try n get some sleep,sadness,1.031277741,17.81233968,0.057896815,negative
22,well this bitch is struggling to sleep again,unknown,8.782322859,9.47547004,0.926848254,negative
23,can t sleep rave lounge b b w right here,unknown,17.22651516,0.445453222,38.67188361,positive
24,bumped my knee whilst rushing up the stairs for god knows what reason and now i sleep with one leg exposed bc of,sadness,8.782322859,8.782322859,1,neutral
25,i m to tired to tweet anything meaningful tonight sorry this morning this mets win streak is killing,disgust,9.47547004,18.50548686,0.512035707,negative
26,good to hear of the loyalty and dedication of caolan lucy and george to work for free with tommy robinson while they get t,joy,33.42175257,9.47547004,3.527186771,positive
27,sad to see the strain on the nhs in child a amp e and there s a hour wait to see a doctor people in tears too abou,sadness,8.782322859,26.8423565,0.327181515,negative
28,i wanna sleep but lou and chels won t let me,unknown,1.031277741,9.47547004,0.108836579,negative
29,a heat change infinity war mug tis the sorcery of dr strange surely i m,anger,9.47547004,26.8423565,0.353004403,negative
